ts,phase,car,config,mode,rep,mph,steer1,steer2,brake,runID,dist_m,dist_ft,avg_g,duration_s,actual_start_mph,arc_m,arc_g,steer_input,wheel_angle_deg,understeer_deg,yaw_deg,acs,dmg,codekey,tele_files,wall_s,status
16:05:40,straight,DynamicABS,DynamicABS1.pc,straight,8,60,0.0,0.0,1.0,1788649552-0001,30.4005,99.74,1.2045,2.19,60.0,30.40,1.205,0.00,0.2,0.1,1.0,0.0,0,ba2f3327-f04f27a6-108632,1,17.0,OK
16:05:57,straight,DynamicABS,DynamicABS1.pc,straight,8,80,0.0,0.0,1.0,1788649570-0002,53.9395,176.97,1.2076,2.94,80.0,53.94,1.208,0.00,0.2,0.2,1.3,0.0,0,ba2f3327-f04f27a6-108632,1,18.1,OK
16:06:15,straight,DynamicABS,DynamicABS1.pc,straight,8,120,0.0,0.0,1.0,1788649589-0003,121.9325,400.04,1.2025,4.46,120.0,121.93,1.202,0.00,0.2,0.2,2.0,0.0,0,ba2f3327-f04f27a6-108632,1,19.7,OK
16:06:35,straight,DynamicABS,DynamicABS1.pc,straight,8,160,0.0,0.0,1.0,1788649612-0004,215.0242,705.46,1.2124,5.94,160.0,215.03,1.212,0.00,0.2,0.2,2.8,0.0,0,ba2f3327-f04f27a6-108632,1,23.7,OK
16:07:23,straight,StockABS,StockABS1.pc,straight,8,60,0.0,0.0,1.0,1788649655-0001,31.1065,102.06,1.1772,2.24,60.0,31.11,1.177,0.00,0.2,0.1,0.8,0.0,0,,0,16.5,OK
16:07:39,straight,StockABS,StockABS1.pc,straight,8,80,0.0,0.0,1.0,1788649672-0002,54.6570,179.32,1.1918,2.99,80.0,54.66,1.192,0.00,0.2,0.2,1.4,0.0,0,,0,17.4,OK
16:07:57,straight,StockABS,StockABS1.pc,straight,8,120,0.0,0.0,1.0,1788649690-0003,122.2099,400.95,1.1998,4.49,120.0,122.21,1.200,0.00,0.3,0.2,1.8,0.0,0,,0,18.8,OK
16:08:16,straight,StockABS,StockABS1.pc,straight,8,160,0.0,0.0,1.0,1788649712-0004,216.7349,711.07,1.2029,6.00,160.0,216.74,1.203,0.00,0.2,0.2,3.1,0.0,0,,0,21.4,OK
16:09:01,straight,DynamicABS,DynamicABS1.pc,straight,9,60,0.0,0.0,1.0,1788649754-0001,30.4324,99.84,1.2033,2.20,60.0,30.43,1.203,0.00,0.2,0.1,0.9,0.0,0,ba2f3327-f04f27a6-108632,1,17.0,OK
16:09:18,straight,DynamicABS,DynamicABS1.pc,straight,9,80,0.0,0.0,1.0,1788649771-0002,53.9194,176.90,1.2081,2.94,80.0,53.92,1.208,0.00,0.2,0.2,1.3,0.0,0,ba2f3327-f04f27a6-108632,1,17.9,OK
